Date,Order_ID,Dish_Name,Ingredient_Name,Quantity_Used,Unit,Stock_Available
2023-01-01,ORD-20230101-9224,Pepperoni Pizza,Pizza Dough,1,ball,99
2023-01-01,ORD-20230101-9224,Pepperoni Pizza,Tomato Sauce,0.2,liter,49.8
2023-01-01,ORD-20230101-9224,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,29.8
2023-01-01,ORD-20230101-9224,Pepperoni Pizza,Pepperoni,0.1,kg,19.9
2023-01-01,ORD-20230101-1557,Spaghetti Bolognese,Pasta,0.2,kg,49.8
2023-01-01,ORD-20230101-1557,Spaghetti Bolognese,Tomato Sauce,0.15,liter,49.65
2023-01-01,ORD-20230101-1557,Spaghetti Bolognese,Ground Beef,0.15,kg,39.85
2023-01-01,ORD-20230101-1557,Spaghetti Bolognese,Onion,0.05,kg,24.95
2023-01-01,ORD-20230101-3319,Caesar Salad,Lettuce,0.5,head,49.5
2023-01-01,ORD-20230101-3319,Caesar Salad,Tomatoes,0.2,kg,29.8
2023-01-01,ORD-20230101-3319,Caesar Salad,Mozzarella Cheese,0.05,kg,29.75
2023-01-01,ORD-20230101-5169,Pepperoni Pizza,Pizza Dough,1,ball,98
2023-01-01,ORD-20230101-5169,Pepperoni Pizza,Tomato Sauce,0.2,liter,49.45
2023-01-01,ORD-20230101-5169,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,29.55
2023-01-01,ORD-20230101-5169,Pepperoni Pizza,Pepperoni,0.1,kg,19.8
2023-01-01,ORD-20230101-8720,Margherita Pizza,Pizza Dough,1,ball,97
2023-01-01,ORD-20230101-8720,Margherita Pizza,Tomato Sauce,0.2,liter,49.25
2023-01-01,ORD-20230101-8720,Margherita Pizza,Mozzarella Cheese,0.25,kg,29.3
2023-01-01,ORD-20230101-2168,Cheeseburger,Burger Bun,1,piece,99
2023-01-01,ORD-20230101-2168,Cheeseburger,Burger Patty,1,piece,79
2023-01-01,ORD-20230101-2168,Cheeseburger,Mozzarella Cheese,0.05,kg,29.25
2023-01-01,ORD-20230101-2168,Cheeseburger,Lettuce,0.1,head,49.4
2023-01-01,ORD-20230101-2168,Cheeseburger,Tomatoes,0.05,kg,29.75
2023-01-01,ORD-20230101-2168,Cheeseburger,Onion,0.02,kg,24.93
2023-01-01,ORD-20230101-1988,Cheeseburger,Burger Bun,1,piece,98
2023-01-01,ORD-20230101-1988,Cheeseburger,Burger Patty,1,piece,78
2023-01-01,ORD-20230101-1988,Cheeseburger,Mozzarella Cheese,0.05,kg,29.2
2023-01-01,ORD-20230101-1988,Cheeseburger,Lettuce,0.1,head,49.3
2023-01-01,ORD-20230101-1988,Cheeseburger,Tomatoes,0.05,kg,29.7
2023-01-01,ORD-20230101-1988,Cheeseburger,Onion,0.02,kg,24.91
2023-01-01,ORD-20230101-9722,Caesar Salad,Lettuce,0.5,head,48.8
2023-01-01,ORD-20230101-9722,Caesar Salad,Tomatoes,0.2,kg,29.5
2023-01-01,ORD-20230101-9722,Caesar Salad,Mozzarella Cheese,0.05,kg,29.15
2023-01-01,ORD-20230101-1625,Cheeseburger,Burger Bun,1,piece,97
2023-01-01,ORD-20230101-1625,Cheeseburger,Burger Patty,1,piece,77
2023-01-01,ORD-20230101-1625,Cheeseburger,Mozzarella Cheese,0.05,kg,29.1
2023-01-01,ORD-20230101-1625,Cheeseburger,Lettuce,0.1,head,48.7
2023-01-01,ORD-20230101-1625,Cheeseburger,Tomatoes,0.05,kg,29.45
2023-01-01,ORD-20230101-1625,Cheeseburger,Onion,0.02,kg,24.89
2023-01-01,ORD-20230101-1795,Caesar Salad,Lettuce,0.5,head,48.2
2023-01-01,ORD-20230101-1795,Caesar Salad,Tomatoes,0.2,kg,29.25
2023-01-01,ORD-20230101-1795,Caesar Salad,Mozzarella Cheese,0.05,kg,29.05
2023-01-01,ORD-20230101-6118,Margherita Pizza,Pizza Dough,1,ball,96
2023-01-01,ORD-20230101-6118,Margherita Pizza,Tomato Sauce,0.2,liter,49.05
2023-01-01,ORD-20230101-6118,Margherita Pizza,Mozzarella Cheese,0.25,kg,28.8
2023-01-01,ORD-20230101-2120,Cheeseburger,Burger Bun,1,piece,96
2023-01-01,ORD-20230101-2120,Cheeseburger,Burger Patty,1,piece,76
2023-01-01,ORD-20230101-2120,Cheeseburger,Mozzarella Cheese,0.05,kg,28.75
2023-01-01,ORD-20230101-2120,Cheeseburger,Lettuce,0.1,head,48.1
2023-01-01,ORD-20230101-2120,Cheeseburger,Tomatoes,0.05,kg,29.2
2023-01-01,ORD-20230101-2120,Cheeseburger,Onion,0.02,kg,24.87
2023-01-01,ORD-20230101-2184,Caesar Salad,Lettuce,0.5,head,47.6
2023-01-01,ORD-20230101-2184,Caesar Salad,Tomatoes,0.2,kg,29.0
2023-01-01,ORD-20230101-2184,Caesar Salad,Mozzarella Cheese,0.05,kg,28.7
2023-01-01,ORD-20230101-1216,Margherita Pizza,Pizza Dough,1,ball,95
2023-01-01,ORD-20230101-1216,Margherita Pizza,Tomato Sauce,0.2,liter,48.85
